id,name,imdb_rating
1,Avatar,7.9
2,Jurassic World,7.3
3,The Avengers,8.1
4,The Dark Knight,9.0
5,Star Wars: Episode I - The Phantom Menace,6.6
6,Star Wars,8.7
7,Avengers: Age of Ultron,7.9
8,The Dark Knight Rises,8.5
9,Pirates of the Caribbean: Dead Mans Chest,7.3
10,Iron Man 3,7.3
11,Spider-Man,7.3
12,Transformers: Revenge of the Fallen,6.0
13,Star Wars: Episode III - Revenge of the Sith,7.7
14,Spider-Man 2,7.3
15,Transformers: Dark of the Moon,6.3
16,American Sniper,7.4
17,Furious Seven,7.4
18,Spider-Man 3,6.2
19,Guardians of the Galaxy,8.1
20,Transformers,7.1
21,Iron Man,7.9
22,Indiana Jones and the Kingdom of the Crystal Skull,6.2
23,Iron Man 2,7.1
24,Star Wars: Episode II - Attack of the Clones,6.7
25,Pirates of the Caribbean: At Worlds End,7.1
26,Star Wars: Episode VI - Return of the Jedi,8.4
27,Independence Day,6.9
28,Pirates of the Caribbean: The Curse of the Black Pearl,8.1
29,Skyfall,7.8
30,Inception,8.8
31,Man of Steel,7.2
32,Star Wars: Episode V - The Empire Strikes Back,8.8
33,The Matrix Reloaded,7.2
34,The Amazing Spider-Man,7.1
35,The Incredibles,8.0
36,Captain America: The Winter Soldier,7.8
37,The Lego Movie,7.8
38,Star Trek,8.0
39,Batman,7.6
40,Night at the Museum,6.4
41,Transformers: Age of Extinction,5.8
42,Twister,6.3
43,Maleficent,7.0
44,Pirates of the Caribbean: On Stranger Tides,6.7
45,Fast & Furious 6,7.2
46,Beverly Hills Cop,7.3
47,X-Men: The Last Stand,6.8
48,X-Men: Days of Future Past,8.1
49,The Lost World: Jurassic Park,6.5
50,Star Trek Into Darkness,7.8
51,Shrek 2,7.2
52,Toy Story 3,8.4
53,Frozen,7.6
54,Finding Nemo,8.2
55,Despicable Me 2,7.5
56,Inside Out,8.6
57,Shrek the Third,6.0
58,Minions,6.7
59,Up,8.3
60,"Monsters, Inc.",8.1
61,Home Alone,7.4
62,Meet the Fockers,6.3
63,The Hangover,7.8
64,Monsters University,7.4
65,Shrek,7.9
66,How the Grinch Stole Christmas,6.0
67,The Hangover Part II,6.5
68,Despicable Me,7.7
69,Men in Black,7.2
70,Toy Story 2,7.9
71,Cars,7.2
72,Bruce Almighty,6.7
73,My Big Fat Greek Wedding,6.6
74,Shrek Forever After,6.4
75,Brave,7.2
76,Ghostbusters,7.8
77,Rush Hour 2,6.6
78,Big Hero 6,7.9
79,Alvin and the Chipmunks: The Squeakquel,4.4
80,Mrs. Doubtfire,6.9
81,Ted,7.0
82,Aladdin,8.0
83,Alvin and the Chipmunks,5.3
84,Madagascar 3: Europes Most Wanted,7.0
85,Kung Fu Panda,7.6
86,The Lorax,6.5
87,Austin Powers in Goldmember,6.2
88,Back to the Future,8.5
89,Wedding Crashers,7.0
90,Charlie and the Chocolate Factory,6.7
91,Ratatouille,8.0
92,Austin Powers: The Spy Who Shagged Me,6.6
93,Tangled,7.8
94,Monsters vs. Aliens,6.6
95,Happy Feet,6.5
96,Ice Age: Dawn of the Dinosaurs,7.0
97,Ice Age: The Meltdown,6.9
98,World War Z,7.0
99,What Lies Beneath,6.6
100,Gremlins,7.2
101,The Blair Witch Project,6.4
102,The Conjuring,7.5
103,The Ring,7.1
104,The Grudge,5.9
105,Paranormal Activity,6.3
106,Interview with the Vampire: The Vampire Chronicles,7.6
107,Paranormal Activity 3,5.9
108,Scream,7.2
109,Jaws 2,5.7
110,Scream 2,6.1
111,Sleepy Hollow,7.4
112,The Others,7.6
113,The Haunting,4.9
114,Scream 3,5.5
115,Saw II,6.6
116,The Amityville Horror,6.2
117,Aliens,8.4
118,Paranormal Activity 2,5.7
119,Annabelle,5.4
120,Scooby-Doo 2: Monsters Unleashed,4.9
121,Insidious: Chapter 2,6.6
122,Dracula,7.5
123,Freddy vs. Jason,5.8
124,Blade II,6.7
125,Saw III,6.2
126,The Texas Chainsaw Massacre,6.2
127,Cloverfield,7.1
128,Dark Shadows,6.2
129,The Ring Two,5.4
130,Zombieland,7.7
131,Constantine,6.9
132,The Exorcism of Emily Rose,6.7
133,I Know What You Did Last Summer,5.6
134,1408,6.8
135,Mama,6.2
136,The Purge: Anarchy,6.5
137,Scary Movie 2,5.2
138,Blade,7.1
139,End of Days,5.7
140,The Forgotten,5.8
141,The Final Destination,5.2
142,Warm Bodies,6.9
143,Anaconda,4.6
144,Wolf,6.2
145,Friday the 13th,5.6
146,The Purge,5.6
147,Titanic,7.7
148,Forrest Gump,8.8
149,The Twilight Saga: Eclipse,4.9
150,The Twilight Saga: New Moon,4.6
151,The Twilight Saga: Breaking Dawn - Part 2,5.6
152,The Twilight Saga: Breaking Dawn - Part 1,4.9
153,Beauty and the Beast,8.0
154,King Kong,7.3
155,Ghost,7.0
156,Cinderella,7.1
157,Gone with the Wind,8.2
158,Pearl Harbor,6.0
159,Twilight,5.2
160,Mr. & Mrs. Smith,6.5
161,Snow White and the Seven Dwarfs,7.7
162,What Women Want,6.4
163,Top Gun,6.8
164,Pretty Woman,6.9
165,Hitch,6.7
166,Tootsie,7.4
167,Theres Something About Mary,7.1
168,Elf,6.9
169,Tarzan,7.2
170,Bridesmaids,6.8
171,Fifty Shades of Grey,4.2
172,Robin Hood: Prince of Thieves,6.9
173,The Proposal,6.7
174,The Sound of Music,8.0
175,Jerry Maguire,7.3
176,Sex and the City,5.5
177,Runaway Bride,5.4
178,Les Misérables,7.6
179,Knocked Up,7.1
180,Little Fockers,5.5
181,As Good as It Gets,7.8
182,American Pie 2,6.4
183,The Great Gatsby,7.3
184,Mamma Mia!,6.4
185,Juno,7.5
186,Marley & Me,7.1
187,Pocahontas,6.6
188,Slumdog Millionaire,8.0
189,Look Whos Talking,5.8
190,Click,6.4
191,The Lion King,8.5
192,Harry Potter and the Deathly Hallows: Part 2,8.1
193,The Sixth Sense,8.2
194,Jaws,8.1
195,I Am Legend,7.2
196,The Blind Side,7.7
197,Cast Away,7.7
198,Signs,6.7
199,Saving Private Ryan,8.6
200,Dawn of the Planet of the Apes,7.7
201,Interstellar,8.7
202,Gladiator,8.5
203,Dances with Wolves,8.0
204,The Perfect Storm,6.4
205,Lincoln,7.4
206,Rise of the Planet of the Apes,7.6
207,The Karate Kid,6.2
208,Rain Man,8.0
209,Air Force One,6.4
210,True Grit,7.7
211,A Beautiful Mind,8.2
212,The Help,8.1
213,3 Men and a Baby,5.9
214,Gone Girl,8.2
215,Kung Fu Panda 2,7.3
216,Hannibal,6.7
217,Catch Me If You Can,8.0
218,Big Daddy,6.4
219,Se7en,8.6
220,Seven,6.1
221,"The Good, the Bad and the Ugly",
222,Dawn of the Dead,5.2
223,Shawn of the Dead,
224,Star Wars: The Force Awakens,8.1
225,Star Wars: The Last Jedi,
226,The Shining,8.4
227,The Devil and Daniel Johnston,8.0
228,Ali Wong: Baby Cobra,
229,The Big Sick,
230,Deadpool,
